prefix_36	short_name_36	name_36
00:50:C2:01:C0:00/36	TadiranS	Tadiran Scopus
00:50:C2:01:D0:00/36	Princeto	Princeton Gamma Tech
00:50:C2:01:E0:00/36	Calltech	CallTech International Limited
00:50:C2:01:F0:00/36	KbsIndus	KBS Industrieelektronik GmbH
00:50:C2:02:00:00/36	IconRese	Icon Research Ltd.
00:50:C2:02:10:00/36	DrsTechn	DRS Technologies Canada Co.
00:50:C2:02:20:00/36	AshlingM	Ashling Microsystems Ltd.
00:50:C2:02:30:00/36	Zabacom	Zabacom, Inc.
00:50:C2:02:40:00/36	Ipitek
00:50:C2:02:50:00/36	TeracomT	Teracom Telematica S.A
00:50:C2:02:60:00/36	Abatis	Abatis Systems Corp.
00:50:C2:02:70:00/36	Industri	Industrial Control Links
00:50:C2:02:80:00/36	FrenschP	The Frensch Corporation (Pty) Ltd.
00:50:C2:02:90:00/36	Grossenb	Grossenbacher Systeme AG
00:50:C2:02:A0:00/36	Versalog	VersaLogic Corp.
00:50:C2:02:B0:00/36	NovaEngi	Nova Engineering Inc.
00:50:C2:02:C0:00/36	Narrowba	Narrowband Telecommunications
00:50:C2:02:D0:00/36	Innocor	Innocor LTD
00:50:C2:02:E0:00/36	TurtleMo	Turtle Mountain Corp
00:50:C2:02:F0:00/36	Sinetica	Sinetica Corp
00:50:C2:03:00:00/36	Lockheed	Lockheed Martin Tactical Defense Systems Eagan
00:50:C2:03:10:00/36	Eloquenc	Eloquence Ltd
00:50:C2:03:20:00/36	Motionio
00:50:C2:03:30:00/36	DobleEng	Doble Engineering
00:50:C2:03:40:00/36	IngBuero	Ing. Buero W. Kanis GmbH
00:50:C2:03:50:00/36	AlliantT	Alliant Techsystems, Inc.
00:50:C2:03:60:00/36	Arcturus	Arcturus Networks Inc.
00:50:C2:03:70:00/36	EISM	E.I.S.M.
00:50:C2:03:80:00/36	EtheiraT	Etheira Technologies
00:50:C2:03:90:00/36	ApexSign	Apex Signal Corp
00:50:C2:03:A0:00/36	PllbElet	PLLB Elettronica SPA
00:50:C2:03:B0:00/36	VnrElect	VNR Electronique SA
00:50:C2:03:C0:00/36	Brainbox	BrainBoxes Ltd
00:50:C2:03:D0:00/36	IsdnGate	ISDN Gateway Technology AG
00:50:C2:03:E0:00/36	MsuUk	MSU UK Ltd
00:50:C2:03:F0:00/36	Celotek	Celotek Corp
00:50:C2:04:00:00/36	Mispo	MiSPO Co., Ltd.
00:50:C2:04:10:00/36	DamlerCh	Damler Chrysler Rail System (Signal) AB
00:50:C2:04:20:00/36	BEARSolu	B.E.A.R. Solutions (Australasia) Pty, Ltd
00:50:C2:04:30:00/36	Curtis	Curtis, Inc.
00:50:C2:04:40:00/36	Private
00:50:C2:04:50:00/36	ChaseMan	Chase Manhattan Bank
00:50:C2:04:60:00/36	Private
00:50:C2:04:70:00/36	BRElectr	B. R. Electronics
00:50:C2:04:80:00/36	Cybectec	Cybectec Inc.
00:50:C2:04:90:00/36	Computer	Computer Concepts Corp
00:50:C2:04:A0:00/36	TelecomA	Telecom Analysis Systems, LP
00:50:C2:04:B0:00/36	TecstarD	Tecstar Demo Systems Division
00:50:C2:04:C0:00/36	NewStand	New Standard Engineering NV
00:50:C2:04:E0:00/36	Industri	Industrial Electronic Engineers, Inc.
00:50:C2:04:F0:00/36	Luma	Luma Corporation
00:50:C2:05:00:00/36	Dataprob	Dataprobe, Inc.
